Image,ASM-1-0,energy-1-0,homogeneity-1-0,dissimilarity-1-0,ASM-1-45,energy-1-45,homogeneity-1-45,ASM-1-90,energy-1-90,homogeneity-1-90,ASM-1-135,energy-1-135,homogeneity-1-135,ASM-2-0,energy-2-0,ASM-2-45,energy-2-45,ASM-2-90,energy-2-90,ASM-2-135,energy-2-135,homogeneity-2-135,ASM-3-0,energy-3-0,homogeneity-3-0,dissimilarity-3-0,ASM-3-45,energy-3-45,homogeneity-3-45,dissimilarity-3-45,ASM-3-90,energy-3-90,homogeneity-3-90,dissimilarity-3-90,ASM-3-135,energy-3-135,homogeneity-3-135,output
/content/gdrive/My Drive/Colab Notebooks/feature/13-2-rs.jpg,0.79622908,0.89231669,0.55299145,0.89612097,0.79027691,0.8889752,0.55548981,0.79027691,0.8889752,0.55548981,0.79027691,0.8889752,0.55548981,0.81329111,0.90182654,0.78840697,0.88792284,0.78840697,0.88792284,0.79027691,0.8889752,0.55548981,0.79475768,0.89149183,0.55575279,0.88954635,0.79056738,0.88913856,0.55654175,0.88823143,0.79056738,0.88913856,0.55654175,0.88823143,0.79027691,0.8889752,0.55548981,1
/content/gdrive/My Drive/Colab Notebooks/feature/13-3-rs.jpg,0.79725093,0.89288909,0.55266272,0.89677844,0.79672185,0.89259277,0.55055884,0.79672185,0.89259277,0.55055884,0.79672185,0.89259277,0.55055884,0.79263098,0.89029825,0.80199971,0.89554436,0.80199971,0.89554436,0.79672185,0.89259277,0.55055884,0.78829977,0.88786247,0.55213675,0.89940828,0.80122424,0.8951113,0.55082183,0.90072321,0.80122424,0.8951113,0.55082183,0.90072321,0.79672185,0.89259277,0.55055884,1
/content/gdrive/My Drive/Colab Notebooks/feature/13-4-rs.jpg,0.88026494,0.93822435,0.52978304,0.94148586,0.87911514,0.9376114,0.53011177,0.87911514,0.9376114,0.53011177,0.87911514,0.9376114,0.53011177,0.86432505,0.92969083,0.87911514,0.9376114,0.87911514,0.9376114,0.87911514,0.9376114,0.53011177,0.87896298,0.93753026,0.52905983,0.94345825,0.86649497,0.93085712,0.53320184,0.93491124,0.86649497,0.93085712,0.53320184,0.93491124,0.87911514,0.9376114,0.53011177,1
/content/gdrive/My Drive/Colab Notebooks/feature/14-1-rs.jpg,0.75641825,0.86972309,0.56160421,0.88099934,0.75036666,0.86623707,0.56252465,0.75036666,0.86623707,0.56252465,0.75036666,0.86623707,0.56252465,0.75227378,0.86733718,0.74391134,0.86250295,0.74391134,0.86250295,0.75036666,0.86623707,0.56252465,0.74407819,0.86259967,0.56587771,0.87245233,0.75243112,0.86742788,0.56239316,0.87968442,0.75243112,0.86742788,0.56239316,0.87968442,0.75036666,0.86623707,0.56252465,0
/content/gdrive/My Drive/Colab Notebooks/feature/14-2-rs.jpg,0.59057698,0.76849007,0.63694938,0.72846811,0.60459938,0.77755989,0.62853386,0.60459938,0.77755989,0.62853386,0.60459938,0.77755989,0.62853386,0.60207673,0.77593604,0.60617625,0.77857322,0.60617625,0.77857322,0.60459938,0.77755989,0.62853386,0.59525227,0.77152593,0.63431953,0.73372781,0.59383965,0.77060992,0.63583169,0.7304405,0.59383965,0.77060992,0.63583169,0.7304405,0.60459938,0.77755989,0.62853386,0
/content/gdrive/My Drive/Colab Notebooks/feature/14-3-rs.jpg,0.65574743,0.80978234,0.6052597,0.79158448,0.65333544,0.80829168,0.60762656,0.65333544,0.80829168,0.60762656,0.65333544,0.80829168,0.60762656,0.65692144,0.8105069,0.64102045,0.80063753,0.64102045,0.80063753,0.65333544,0.80829168,0.60762656,0.64927569,0.80577645,0.60683761,0.78895464,0.64955406,0.80594917,0.60736358,0.78763971,0.64955406,0.80594917,0.60736358,0.78763971,0.65333544,0.80829168,0.60762656,0
/content/gdrive/My Drive/Colab Notebooks/feature/14-4-rs.jpg,0.80468402,0.89704182,0.53464826,0.94017094,0.8114082,0.90078199,0.53477975,0.8114082,0.90078199,0.53477975,0.8114082,0.90078199,0.53477975,0.7943064,0.89123869,0.80149915,0.89526485,0.80149915,0.89526485,0.8114082,0.90078199,0.53477975,0.79800825,0.89331307,0.53451677,0.94148586,0.80607416,0.89781633,0.53642341,0.9355687,0.80607416,0.89781633,0.53642341,0.9355687,0.8114082,0.90078199,0.53477975,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-1-rs.jpg,0.85890455,0.92677103,0.53708087,0.92636423,0.86666961,0.93095091,0.53425378,0.86666961,0.93095091,0.53425378,0.86666961,0.93095091,0.53425378,0.86338273,0.9291839,0.86459996,0.92983868,0.86459996,0.92983868,0.86666961,0.93095091,0.53425378,0.86788857,0.93160537,0.53445102,0.93162393,0.87006455,0.93277251,0.53326759,0.93425378,0.87006455,0.93277251,0.53326759,0.93425378,0.86666961,0.93095091,0.53425378,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-2-rs.jpg,0.95128123,0.97533647,0.51249178,0.97501644,0.94754135,0.97341735,0.51347798,0.94754135,0.97341735,0.51347798,0.94754135,0.97341735,0.51347798,0.94629818,0.97277859,0.95253132,0.97597711,0.95253132,0.97597711,0.94754135,0.97341735,0.51347798,0.95378313,0.97661821,0.51183432,0.97633136,0.95253132,0.97597711,0.51216305,0.9756739,0.95253132,0.97597711,0.51216305,0.9756739,0.94754135,0.97341735,0.51347798,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-3-rs.jpg,0.65841878,0.81143008,0.59769888,0.80933596,0.64216248,0.80135041,0.6035503,0.64216248,0.80135041,0.6035503,0.64216248,0.80135041,0.6035503,0.65639582,0.81018258,0.65564023,0.80971614,0.65564023,0.80971614,0.64216248,0.80135041,0.6035503,0.65114304,0.80693435,0.6034188,0.79684418,0.65184675,0.80737027,0.60118343,0.80210388,0.65184675,0.80737027,0.60118343,0.80210388,0.64216248,0.80135041,0.6035503,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-4-rs.jpg,0.7254099,0.85170998,0.57731755,0.84746877,0.71394645,0.84495352,0.58159106,0.71394645,0.84495352,0.58159106,0.71394645,0.84495352,0.58159106,0.70360342,0.83881072,0.70596527,0.84021739,0.70596527,0.84021739,0.71394645,0.84495352,0.58159106,0.7109172,0.84315906,0.58152531,0.83957922,0.71005096,0.84264522,0.58185404,0.83892176,0.71005096,0.84264522,0.58185404,0.83892176,0.71394645,0.84495352,0.58159106,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-1-rs.jpg,0.80242937,0.89578422,0.54648258,0.9112426,0.79828316,0.89346693,0.5477975,0.79828316,0.89346693,0.5477975,0.79828316,0.89346693,0.5477975,0.79313931,0.89058369,0.80555718,0.89752837,0.80555718,0.89752837,0.79828316,0.89346693,0.5477975,0.79109387,0.88943458,0.55009862,0.90401052,0.79416462,0.89115915,0.54911243,0.90598291,0.79416462,0.89115915,0.54911243,0.90598291,0.79828316,0.89346693,0.5477975,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-2-rs.jpg,0.72273855,0.85014031,0.57830375,0.84549638,0.71947329,0.84821771,0.57771203,0.71947329,0.84821771,0.57771203,0.71947329,0.84821771,0.57771203,0.71879119,0.84781554,0.72551883,0.85177393,0.72551883,0.85177393,0.71947329,0.84821771,0.57771203,0.73716555,0.85858345,0.57304405,0.85601578,0.72680522,0.85252872,0.57560815,0.85141354,0.72680522,0.85252872,0.57560815,0.85141354,0.71947329,0.84821771,0.57771203,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-3-rs.jpg,0.86095345,0.92787577,0.53537147,0.93030901,0.86095345,0.92787577,0.53537147,0.86095345,0.92787577,0.53537147,0.86095345,0.92787577,0.53537147,0.85648218,0.92546323,0.85648218,0.92546323,0.85648218,0.92546323,0.86095345,0.92787577,0.53537147,0.86319945,0.92908528,0.534714,0.93162393,0.85648218,0.92546323,0.53668639,0.92767916,0.85648218,0.92546323,0.53668639,0.92767916,0.86095345,0.92787577,0.53537147,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-4-rs.jpg,0.70918645,0.84213208,0.58218277,0.8382643,0.70488982,0.83957716,0.58382643,0.70488982,0.83957716,0.58382643,0.70488982,0.83957716,0.58382643,0.70875419,0.8418754,0.71134254,0.84341125,0.71134254,0.84341125,0.70488982,0.83957716,0.58382643,0.70063641,0.83704027,0.58547009,0.83168968,0.70488982,0.83957716,0.58382643,0.83497699,0.70488982,0.83957716,0.58382643,0.83497699,0.70488982,0.83957716,0.58382643,0
/content/gdrive/My Drive/Colab Notebooks/feature/17-1-rs.jpg,0.90221147,0.94984813,0.52143327,0.95923734,0.91176261,0.95486261,0.51880342,0.91176261,0.95486261,0.51880342,0.91176261,0.95486261,0.51880342,0.90936445,0.95360602,0.90102536,0.94922355,0.90102536,0.94922355,0.91176261,0.95486261,0.51880342,0.90458888,0.95109877,0.52077581,0.96055227,0.90936445,0.95360602,0.51946088,0.96318212,0.90936445,0.95360602,0.51946088,0.96318212,0.91176261,0.95486261,0.51880342,1
/content/gdrive/My Drive/Colab Notebooks/feature/17-2-rs.jpg,0.90918463,0.95351174,0.517357,0.96844181,0.89479913,0.94593823,0.52024984,0.89479913,0.94593823,0.52024984,0.89479913,0.94593823,0.52024984,0.87830595,0.93717979,0.88779398,0.9422282,0.88779398,0.9422282,0.89479913,0.94593823,0.52024984,0.88318526,0.93977937,0.52458909,0.95397765,0.88656897,0.94157791,0.52255095,0.95857988,0.88656897,0.94157791,0.52255095,0.95857988,0.89479913,0.94593823,0.52024984,1
/content/gdrive/My Drive/Colab Notebooks/feature/17-3-rs.jpg,0.85465806,0.92447718,0.53944773,0.92110454,0.85910166,0.92687737,0.53813281,0.85910166,0.92687737,0.53813281,0.85910166,0.92687737,0.53813281,0.84694833,0.92029796,0.8568764,0.92567619,0.8568764,0.92567619,0.85910166,0.92687737,0.53813281,0.85910166,0.92687737,0.53813281,0.92373439,0.85788788,0.92622237,0.53793557,0.92439185,0.85788788,0.92622237,0.53793557,0.92439185,0.85910166,0.92687737,0.53813281,1
/content/gdrive/My Drive/Colab Notebooks/feature/17-4-rs.jpg,0.80212679,0.89561531,0.54996713,0.9026956,0.8094008,0.89966705,0.54766601,0.8094008,0.89966705,0.54766601,0.8094008,0.89966705,0.54766601,0.7949375,0.89159267,0.79582708,0.89209141,0.79582708,0.89209141,0.8094008,0.89966705,0.54766601,0.80109456,0.89503886,0.55029586,0.90203813,0.79814052,0.8933871,0.55180802,0.89875082,0.79814052,0.8933871,0.55180802,0.89875082,0.8094008,0.89966705,0.54766601,1
/content/gdrive/My Drive/Colab Notebooks/feature/18-1-rs.jpg,0.87487211,0.93534598,0.53353057,0.93293886,0.87601153,0.93595488,0.53320184,0.87601153,0.93595488,0.53320184,0.87601153,0.93595488,0.53320184,0.86807185,0.93170373,0.8714642,0.93352247,0.8714642,0.93352247,0.87601153,0.93595488,0.53320184,0.86807185,0.93170373,0.53550296,0.92899408,0.86694452,0.93109856,0.53583169,0.92833662,0.86694452,0.93109856,0.53583169,0.92833662,0.87601153,0.93595488,0.53320184,0
/content/gdrive/My Drive/Colab Notebooks/feature/18-2-rs.jpg,0.8078637,0.89881238,0.54030243,0.92570677,0.80661361,0.8981167,0.53957922,0.80661361,0.8981167,0.53957922,0.80661361,0.8981167,0.53957922,0.80239825,0.89576685,0.80125017,0.89512579,0.80125017,0.89512579,0.80661361,0.8981167,0.53957922,0.80115335,0.8950717,0.54017094,0.9270217,0.80642688,0.89801274,0.53852728,0.93030901,0.80642688,0.89801274,0.53852728,0.93030901,0.80661361,0.8981167,0.53957922,0
/content/gdrive/My Drive/Colab Notebooks/feature/18-3-rs.jpg,0.87551876,0.9356916,0.53004602,0.94148586,0.87644466,0.93618623,0.52813938,0.87644466,0.93618623,0.52813938,0.87644466,0.93618623,0.52813938,0.88214958,0.93922818,0.88337459,0.93988009,0.88337459,0.93988009,0.87644466,0.93618623,0.52813938,0.88589811,0.9412216,0.52708744,0.94740302,0.88344116,0.93991551,0.52669297,0.94871795,0.88344116,0.93991551,0.52669297,0.94871795,0.87644466,0.93618623,0.52813938,0
/content/gdrive/My Drive/Colab Notebooks/feature/18-4-rs.jpg,0.81433717,0.90240632,0.5495069,0.90203813,0.81748573,0.90414917,0.54852071,0.81748573,0.90414917,0.54852071,0.81748573,0.90414917,0.54852071,0.8029256,0.89606116,0.80795361,0.8988624,0.80795361,0.8988624,0.81748573,0.90414917,0.54852071,0.80912416,0.89951329,0.55115056,0.89875082,0.80471514,0.89705916,0.55141354,0.89875082,0.80471514,0.89705916,0.55141354,0.89875082,0.81748573,0.90414917,0.54852071,0
/content/gdrive/My Drive/Colab Notebooks/feature/19-1-rs.jpg,0.92159731,0.9599986,0.51827745,0.96449704,0.92038699,0.95936802,0.51860618,0.92038699,0.95936802,0.51860618,0.92038699,0.95936802,0.51860618,0.90957193,0.95371481,0.92038699,0.95936802,0.92038699,0.95936802,0.92038699,0.95936802,0.51860618,0.9191784,0.95873792,0.51893491,0.96318212,0.91797154,0.95810831,0.51926364,0.96252465,0.91797154,0.95810831,0.51926364,0.96252465,0.92038699,0.95936802,0.51860618,1
/content/gdrive/My Drive/Colab Notebooks/feature/19-2-rs.jpg,0.87911514,0.9376114,0.53011177,0.9408284,0.87315345,0.93442681,0.53017751,0.87315345,0.93442681,0.53017751,0.87315345,0.93442681,0.53017751,0.86981298,0.93263764,0.87201143,0.93381552,0.87201143,0.93381552,0.87315345,0.93442681,0.53017751,0.87437415,0.93507975,0.53037475,0.9408284,0.86867701,0.93202844,0.53201841,0.93754109,0.86867701,0.93202844,0.53201841,0.93754109,0.87315345,0.93442681,0.53017751,1
/content/gdrive/My Drive/Colab Notebooks/feature/19-3-rs.jpg,0.77160775,0.87841206,0.55877712,0.88560158,0.75801587,0.87064107,0.56337936,0.75801587,0.87064107,0.56337936,0.75801587,0.87064107,0.56337936,0.75134702,0.86680276,0.75801587,0.87064107,0.75801587,0.87064107,0.75801587,0.87064107,0.56337936,0.75961868,0.87156106,0.56166995,0.88034188,0.75610184,0.86954117,0.56403682,0.87508218,0.75610184,0.86954117,0.56403682,0.87508218,0.75801587,0.87064107,0.56337936,1
/content/gdrive/My Drive/Colab Notebooks/feature/19-4-rs.jpg,0.84373235,0.91854904,0.53714661,0.92833662,0.83905879,0.91600152,0.53688363,0.83905879,0.91600152,0.53688363,0.83905879,0.91600152,0.53688363,0.85130548,0.92266217,0.85019199,0.92205856,0.85019199,0.92205856,0.83905879,0.91600152,0.53688363,0.84465046,0.91904867,0.53576594,0.93162393,0.83686984,0.9148059,0.53754109,0.92833662,0.83686984,0.9148059,0.53754109,0.92833662,0.83905879,0.91600152,0.53688363,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-1-rs.jpg,0.91938588,0.95884612,0.52103879,0.95792242,0.90980708,0.95383808,0.52366864,0.90980708,0.95383808,0.52366864,0.90980708,0.95383808,0.52366864,0.9026956,0.95010294,0.90624356,0.95196825,0.90624356,0.95196825,0.90980708,0.95383808,0.52366864,0.91219141,0.95508712,0.52301118,0.95397765,0.90624356,0.95196825,0.52465483,0.95069034,0.90624356,0.95196825,0.52465483,0.95069034,0.90980708,0.95383808,0.52366864,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-2-rs.jpg,0.88634419,0.94145855,0.53024326,0.93951348,0.88634419,0.94145855,0.53024326,0.88634419,0.94145855,0.53024326,0.88634419,0.94145855,0.53024326,0.88173461,0.93900725,0.88288441,0.93961929,0.88288441,0.93961929,0.88634419,0.94145855,0.53024326,0.88634419,0.94145855,0.53024326,0.93951348,0.88865936,0.94268731,0.5295858,0.9408284,0.88865936,0.94268731,0.5295858,0.9408284,0.88634419,0.94145855,0.53024326,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-3-rs.jpg,0.88981954,0.94330246,0.52925707,0.94148586,0.89564636,0.94638594,0.52761341,0.89564636,0.94638594,0.52761341,0.89564636,0.94638594,0.52761341,0.88750091,0.94207267,0.89564636,0.94638594,0.89564636,0.94638594,0.89564636,0.94638594,0.52761341,0.88634419,0.94145855,0.53024326,0.93951348,0.89098144,0.94391813,0.52892834,0.94214333,0.89098144,0.94391813,0.52892834,0.94214333,0.89564636,0.94638594,0.52761341,1
/content/gdrive/My Drive/Colab Notebooks/feature/20-4-rs.jpg,0.85134352,0.92268278,0.54043393,0.91913215,0.83932333,0.91614591,0.54404997,0.83932333,0.91614591,0.54404997,0.83932333,0.91614591,0.54404997,0.83500422,0.91378565,0.83704361,0.91490087,0.83704361,0.91490087,0.83932333,0.91614591,0.54404997,0.83500422,0.91378565,0.54536489,0.90927022,0.84476112,0.91910887,0.54240631,0.91518738,0.84476112,0.91910887,0.54240631,0.91518738,0.83932333,0.91614591,0.54404997,1
/content/gdrive/My Drive/Colab Notebooks/feature/21-1-rs.jpg,0.84686188,0.92025099,0.53510848,0.93293886,0.84253845,0.91789893,0.53694938,0.84253845,0.91789893,0.53694938,0.84253845,0.91789893,0.53694938,0.82936414,0.91069432,0.83468781,0.9136125,0.83468781,0.9136125,0.84253845,0.91789893,0.53694938,0.84668898,0.92015704,0.53405654,0.9355687,0.84797019,0.92085297,0.53477975,0.93359632,0.84797019,0.92085297,0.53477975,0.93359632,0.84253845,0.91789893,0.53694938,0
/content/gdrive/My Drive/Colab Notebooks/feature/21-2-rs.jpg,0.81281217,0.90156096,0.5365549,0.93425378,0.80220459,0.89565875,0.53984221,0.80220459,0.89565875,0.53984221,0.80220459,0.89565875,0.53984221,0.79592304,0.89214519,0.7915659,0.88969989,0.7915659,0.88969989,0.80220459,0.89565875,0.53984221,0.79886412,0.89379199,0.53977646,0.92833662,0.78537771,0.88621539,0.54404997,0.91978961,0.78537771,0.88621539,0.54404997,0.91978961,0.80220459,0.89565875,0.53984221,0
/content/gdrive/My Drive/Colab Notebooks/feature/21-3-rs.jpg,0.99214158,0.99606304,0.50197239,0.99605523,0.99214158,0.99606304,0.50197239,0.99214158,0.99606304,0.50197239,0.99214158,0.99606304,0.50197239,0.98953593,0.99475421,0.99344699,0.99671811,0.99344699,0.99671811,0.99214158,0.99606304,0.50197239,0.98693721,0.99344713,0.50328731,0.99342538,0.99344699,0.99671811,0.50164366,0.99671269,0.99344699,0.99671811,0.50164366,0.99671269,0.99214158,0.99606304,0.50197239,0
/content/gdrive/My Drive/Colab Notebooks/feature/21-4-rs.jpg,0.96639638,0.98305462,0.50854701,0.98290598,0.96006814,0.97983067,0.51019066,0.96006814,0.97983067,0.51019066,0.96006814,0.97983067,0.51019066,0.95880768,0.97918726,0.95880768,0.97918726,0.95880768,0.97918726,0.96006814,0.97983067,0.51019066,0.96133033,0.98047454,0.50986193,0.98027613,0.95880768,0.97918726,0.5105194,0.97896121,0.95880768,0.97918726,0.5105194,0.97896121,0.96006814,0.97983067,0.51019066,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-1-rs.jpg,0.86997896,0.93272663,0.53274162,0.9355687,0.87682072,0.93638706,0.53076923,0.87682072,0.93638706,0.53076923,0.87682072,0.93638706,0.53076923,0.87911514,0.9376114,0.88026494,0.93822435,0.88026494,0.93822435,0.87682072,0.93638706,0.53076923,0.88141647,0.93883783,0.52945431,0.94214333,0.88720006,0.94191298,0.52781065,0.94543064,0.88720006,0.94191298,0.52781065,0.94543064,0.87682072,0.93638706,0.53076923,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-2-rs.jpg,0.69295694,0.83244035,0.59033531,0.82117028,0.69536375,0.83388473,0.5869165,0.69536375,0.83388473,0.5869165,0.69536375,0.83388473,0.5869165,0.69521246,0.83379401,0.69308921,0.8325198,0.69308921,0.8325198,0.69536375,0.83388473,0.5869165,0.69659827,0.83462463,0.5852071,0.8330046,0.68977986,0.83052986,0.58974359,0.82314267,0.68977986,0.83052986,0.58974359,0.82314267,0.69536375,0.83388473,0.5869165,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-3-rs.jpg,0.72987511,0.85432728,0.55982906,0.88954635,0.72123949,0.8492582,0.5617357,0.72123949,0.8492582,0.5617357,0.72123949,0.8492582,0.5617357,0.70700009,0.84083298,0.71544552,0.84584013,0.71544552,0.84584013,0.72123949,0.8492582,0.5617357,0.72908927,0.85386724,0.56068376,0.88757396,0.71362658,0.84476422,0.56331361,0.88362919,0.71362658,0.84476422,0.56331361,0.88362919,0.72123949,0.8492582,0.5617357,0
/content/gdrive/My Drive/Colab Notebooks/feature/22-4-rs.jpg,0.74468681,0.86295238,0.56449704,0.87573964,0.74297335,0.86195902,0.56568047,0.74297335,0.86195902,0.56568047,0.74297335,0.86195902,0.56568047,0.72731874,0.85282984,0.73294672,0.85612308,0.73294672,0.85612308,0.74297335,0.86195902,0.56568047,0.74441708,0.86279608,0.56692965,0.86982249,0.735778,0.85777503,0.56587771,0.87376726,0.735778,0.85777503,0.56587771,0.87376726,0.74297335,0.86195902,0.56568047,0
/content/gdrive/My Drive/Colab Notebooks/feature/23-1-rs.jpg,0.61103482,0.78168716,0.60762656,0.79421433,0.60384553,0.77707498,0.61314924,0.60384553,0.77707498,0.61314924,0.60384553,0.77707498,0.61314924,0.6040582,0.77721181,0.59262588,0.76982198,0.59262588,0.76982198,0.60384553,0.77707498,0.61314924,0.61362317,0.78334103,0.60769231,0.79355687,0.61213102,0.78238802,0.60973044,0.78895464,0.61213102,0.78238802,0.60973044,0.78895464,0.60384553,0.77707498,0.61314924,1
/content/gdrive/My Drive/Colab Notebooks/feature/23-2-rs.jpg,0.91938588,0.95884612,0.52103879,0.95792242,0.91458265,0.95633815,0.52235371,0.91458265,0.95633815,0.52235371,0.91458265,0.95633815,0.52235371,0.91219141,0.95508712,0.91938588,0.95884612,0.91938588,0.95884612,0.91458265,0.95633815,0.52235371,0.92664261,0.96262278,0.5190664,0.96186719,0.92907535,0.96388555,0.51840894,0.96318212,0.92907535,0.96388555,0.51840894,0.96318212,0.91458265,0.95633815,0.52235371,1
/content/gdrive/My Drive/Colab Notebooks/feature/23-3-rs.jpg,0.80044099,0.89467368,0.53596318,0.93754109,0.80346505,0.89636212,0.53392505,0.80346505,0.89636212,0.53392505,0.80346505,0.89636212,0.53392505,0.78440946,0.88566893,0.78113468,0.88381824,0.78113468,0.88381824,0.80346505,0.89636212,0.53392505,0.79605791,0.89222077,0.53622617,0.93754109,0.78727272,0.8872839,0.53622617,0.93885602,0.78727272,0.8872839,0.53622617,0.93885602,0.80346505,0.89636212,0.53392505,1
/content/gdrive/My Drive/Colab Notebooks/feature/23-4-rs.jpg,0.70338038,0.83867775,0.57475345,0.8573307,0.69349899,0.83276587,0.57731755,0.69349899,0.83276587,0.57731755,0.69349899,0.83276587,0.57731755,0.68628031,0.82842037,0.69540524,0.83390961,0.69540524,0.83390961,0.69349899,0.83276587,0.57731755,0.69397274,0.83305027,0.57593688,0.85601578,0.69760716,0.83522881,0.57514793,0.8573307,0.69760716,0.83522881,0.57514793,0.8573307,0.69349899,0.83276587,0.57731755,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-1-rs.jpg,0.73190931,0.85551698,0.56666667,0.87245233,0.73670735,0.85831658,0.56554898,0.73670735,0.85831658,0.56554898,0.73670735,0.85831658,0.56554898,0.73561288,0.85767878,0.735778,0.85777503,0.735778,0.85777503,0.73670735,0.85831658,0.56554898,0.73857125,0.85940168,0.56489152,0.87573964,0.72714757,0.85272948,0.56778435,0.87047995,0.72714757,0.85272948,0.56778435,0.87047995,0.73670735,0.85831658,0.56554898,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-2-rs.jpg,0.79622044,0.89231185,0.54845496,0.90729783,0.78110615,0.8838021,0.5539119,0.78110615,0.8838021,0.5539119,0.78110615,0.8838021,0.5539119,0.7804448,0.88342787,0.7902017,0.8889329,0.7902017,0.8889329,0.78110615,0.8838021,0.5539119,0.79007375,0.88886093,0.55042735,0.90335306,0.78601054,0.88657235,0.55174227,0.90072321,0.78601054,0.88657235,0.55174227,0.90072321,0.78110615,0.8838021,0.5539119,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-3-rs.jpg,0.72451772,0.85118607,0.57764629,0.84681131,0.72273855,0.85014031,0.57830375,0.72273855,0.85014031,0.57830375,0.72273855,0.85014031,0.57830375,0.71622358,0.84629994,0.71574291,0.84601591,0.71574291,0.84601591,0.72273855,0.85014031,0.57830375,0.71569104,0.84598525,0.5809336,0.84023669,0.71642242,0.8464174,0.57764629,0.84812623,0.71642242,0.8464174,0.57764629,0.84812623,0.72273855,0.85014031,0.57830375,1
/content/gdrive/My Drive/Colab Notebooks/feature/24-4-rs.jpg,0.84465046,0.91904867,0.53576594,0.93162393,0.84891078,0.92136354,0.53339908,0.84891078,0.92136354,0.53339908,0.84891078,0.92136354,0.53339908,0.8524207,0.92326632,0.84244595,0.91784854,0.84244595,0.91784854,0.84891078,0.92136354,0.53339908,0.83044478,0.91128743,0.54003945,0.92307692,0.83369708,0.91307014,0.53905325,0.92504931,0.83369708,0.91307014,0.53905325,0.92504931,0.84891078,0.92136354,0.53339908,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-1-rs.jpg,0.67330051,0.82054891,0.59145299,0.82182774,0.67605485,0.82222554,0.58908613,0.67605485,0.82222554,0.58908613,0.67605485,0.82222554,0.58908613,0.66317706,0.81435684,0.67054617,0.81886884,0.67054617,0.81886884,0.67605485,0.82222554,0.58908613,0.67560357,0.82195108,0.58803419,0.82971729,0.66633426,0.816293,0.59059829,0.82511506,0.66633426,0.816293,0.59059829,0.82511506,0.67605485,0.82222554,0.58908613,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-2-rs.jpg,0.95629195,0.97790181,0.51117686,0.97764629,0.95880768,0.97918726,0.5105194,0.95880768,0.97918726,0.5105194,0.95880768,0.97918726,0.5105194,0.95880768,0.97918726,0.96639638,0.98305462,0.96639638,0.98305462,0.95880768,0.97918726,0.5105194,0.96133033,0.98047454,0.50986193,0.98027613,0.96006814,0.97983067,0.51019066,0.97961867,0.96006814,0.97983067,0.51019066,0.97961867,0.95880768,0.97918726,0.5105194,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-3-rs.jpg,0.86077363,0.92777887,0.53431953,0.93293886,0.86189749,0.92838435,0.5339908,0.86189749,0.92838435,0.5339908,0.86189749,0.92838435,0.5339908,0.86095345,0.92787577,0.84622214,0.91990333,0.84622214,0.91990333,0.86189749,0.92838435,0.5339908,0.84502393,0.91925183,0.53786982,0.92636423,0.86068631,0.92773181,0.53379356,0.93425378,0.86068631,0.92773181,0.53379356,0.93425378,0.86189749,0.92838435,0.5339908,1
/content/gdrive/My Drive/Colab Notebooks/feature/25-4-rs.jpg,0.95353415,0.97649073,0.50552268,0.99211045,0.95736221,0.97844888,0.5061144,0.95736221,0.97844888,0.5061144,0.95736221,0.97844888,0.5061144,0.94856493,0.97394298,0.9522979,0.97585752,0.9522979,0.97585752,0.95736221,0.97844888,0.5061144,0.95864169,0.97910249,0.50631164,0.9894806,0.95358948,0.97651906,0.50762656,0.98685076,0.95358948,0.97651906,0.50762656,0.98685076,0.95736221,0.97844888,0.5061144,1
